college_code,college_name,city,years
0058,浙江纺织服装职业技术学院,宁波,"2023,2024"
0060,杭州职业技术学院,杭州,"2023,2024"
0061,金华职业技术大学,金华,2024
0061,金华职业技术学院,金华,2023
0062,义乌工商职业技术学院,义乌,"2023,2024"
0063,宁波职业技术学院,宁波,"2023,2024"
0064,温州职业技术学院,温州,"2023,2024"
0066,台州职业技术学院,台州,2023
0069,嘉兴职业技术学院,嘉兴,"2023,2024"
0070,湖州职业技术学院,湖州,"2023,2024"
0071,衢州职业技术学院,衢州,"2023,2024"
0072,丽水职业技术学院,丽水,"2023,2024"
0075,台州科技职业学院,台州,2023
0076,杭州科技职业技术学院,杭州,"2023,2024"
0085,温州科技职业学院,温州,2023
0106,浙江同济科技职业学院,杭州,"2023,2024"
0111,浙江国际海运职业技术学院,舟山,2023
0112,宁波卫生职业技术学院,宁波,2023
0113,宁波城市职业技术学院,宁波,"2023,2024"
0115,浙江特殊教育职业学院,杭州,2023
0121,湖州学院,湖州,"2023,2024"
0123,温州理工学院,温州,"2023,2024"
0124,宁波幼儿师范高等专科学校,宁波,"2023,2024"
0125,嘉兴南湖学院,嘉兴,"2023,2024"
0128,浙江邮电职业技术学院,绍兴,"2023,2024"
0129,浙江农业商贸职业学院,绍兴,"2023,2024"
0133,浙江安防职业技术学院,温州,2023
0189,北京航空航天大学中法航空学院,杭州,2023
0198,浙江音乐学院,杭州,2024
0199,浙江药科职业大学,宁波,2023
0232,浙江舟山群岛新区旅游与健康职业学院,舟山,2023
0259,浙江大学医学院,杭州,2023
０００１,浙江大学,杭州,2025
０００２,中国美术学院,杭州,2025
０００３,浙江工业大学,杭州,2025
０００４,浙江师范大学,金华,2025
０００５,宁波大学,宁波,2025
０００６,杭州电子科技大学,杭州,2025
０００７,浙江工商大学,杭州,2025
０００８,浙江理工大学,杭州,2025
０００９,温州医科大学,温州,2025
００１０,浙江海洋大学,舟山,2025
００１１,浙江农林大学,杭州,2025
００１２,浙江中医药大学,杭州,2025
００１３,中国计量大学,杭州,2025
００１４,浙江万里学院,宁波,2025
００１５,浙江科技大学,杭州,2025
００１６,浙江财经大学,杭州,2025
００１７,嘉兴大学,嘉兴,2025
００１８,浙大城市学院,杭州,2025
００１９,浙大宁波理工学院,宁波,2025
００２０,杭州师范大学,杭州,2025
００２１,湖州师范学院,湖州,2025
００２２,绍兴文理学院,绍兴,2025
００２３,台州学院,台州,2025
００２４,温州大学,温州,2025
００２５,浙江外国语学院,杭州,2025
００２７,浙江传媒学院,杭州,2025
００２８,宁波工程学院,宁波,2025
００２９,衢州学院,衢州,2025
００３０,浙江水利水电学院,杭州,2025
００３６,杭州医学院,杭州,2025
００３８,丽水学院,丽水,2025
００４１,浙江艺术职业学院,杭州,2025
００４２,浙江交通职业技术学院,杭州,2025
００４３,浙江工商职业技术学院,宁波,2025
００４４,浙江工贸职业技术学院,温州,2025
００４５,浙江机电职业技术大学,杭州,2025
００４６,浙江商业职业技术学院,杭州,2025
００４７,浙江警官职业学院,杭州,2025
００４８,浙江工业职业技术学院,绍兴,2025
００４９,浙江旅游职业学院,杭州,2025
００５０,浙江金融职业学院,杭州,2025
００５１,浙江经济职业技术学院,杭州,2025
００５２,浙江建设职业技术学院,杭州,2025
００５３,浙江经贸职业技术学院,杭州,2025
００５８,浙江纺织服装职业技术学院,宁波,2025
００６０,杭州职业技术大学,杭州,2025
００６１,金华职业技术大学,金华,2025
００６２,义乌工商职业技术学院,义乌,2025
００６３,宁波职业技术大学,宁波,2025
００６４,温州职业技术学院,温州,2025
００６６,台州职业技术学院,台州,2025
００６９,嘉兴职业技术学院,嘉兴,2025
００７０,湖州职业技术学院,湖州,2025
００７１,衢州职业技术学院,衢州,2025
００７２,丽水职业技术学院,丽水,2025
００７５,台州科技职业学院,台州,2025
００７６,杭州科技职业技术学院,杭州,2025
００８５,温州科技职业学院,温州,2025
０１０６,浙江同济科技职业学院,杭州,2025
０１１１,浙江国际海运职业技术学院,舟山,2025
０１１２,宁波卫生职业技术学院,宁波,2025
０１１３,宁波城市职业技术学院,宁波,2025
０１１５,浙江特殊教育职业学院,杭州,2025
０１２１,湖州学院,湖州,2025
０１２２,绍兴理工学院,绍兴,2025
０１２３,温州理工学院,温州,2025
０１２４,宁波幼儿师范高等专科学校,宁波,2025
０１２５,嘉兴南湖学院,嘉兴,2025
０１２８,浙江邮电职业技术学院,绍兴,2025
０１２９,浙江农业商贸职业学院,绍兴,2025
０１３３,浙江安防职业技术学院,温州,2025
０１９８,浙江音乐学院,杭州,2025
０１９９,浙江药科职业大学,宁波,2025
０２３２,浙江舟山群岛新区旅游与健康职业学院,舟山,2025
０２５９,浙江大学医学院,杭州,2025
