college_code,college_name,years,year_count
3529,闽江学院,"2021,2022,2024",3
3529,闽江大学,2026,1
3530,闽南理工学院(民办),"2021,2022",2
3530,闽南理工学院,"2024,2026",2
3532,宁德职业技术学院,"2021,2022,2024,2026",4
3534,泉州华光职业学院(民办),2021,1
3536,泉州职业技术大学(民办),"2021,2022",2
3536,泉州职业技术大学,"2024,2026",2
3537,泉州师范学院,"2021,2022,2024,2026",4
3538,泉州信息工程学院(民办),"2021,2022",2
3538,泉州信息工程学院,"2024,2026",2
3539,泉州医学高等专科学校,"2021,2022",2
3540,三明学院,"2021,2022,2024,2026",4
3541,武夷学院,"2021,2022,2024,2026",4
3542,厦门城市职业学院,"2021,2022,2024,2026",4
3543,厦门大学(一流大学建设高校),2021,1
3543,厦门大学（一流大学建设高校）,2022,1
3543,厦门大学,"2024,2026",2
3544,厦门大学嘉庚学院(独立学院),"2021,2022",2
3544,厦门大学嘉庚学院,"2024,2026",2
3545,厦门海洋职业技术学院,"2021,2022,2024,2026",4
3547,厦门华厦学院(民办),"2021,2022",2
3547,厦门华厦学院,"2024,2026",2
3548,厦门理工学院,"2021,2022,2024,2026",4
3553,闽南师范大学,"2021,2022,2024,2026",4
3555,泉州海洋职业学院(民办),2021,1
3561,泉州轻工职业学院,2024,1
3562,福州墨尔本理工职业学院(中外合作办学),"2021,2022",2
3563,厦门大学（马来西亚分校招生专业）(一流大学建设高校),2021,1
3563,厦门大学（马来西亚分校招生专业）（一流大学建设高校）,2022,1
3563,厦门大学(马来西亚分校招生专业),"2024,2026",2
3564,仰恩大学(民办),"2021,2022",2
3564,仰恩大学,"2024,2026",2
3574,厦门医学院,2026,1
3575,宁德师范学院,2026,1
3592,厦门工学院,2026,1
3601,东华理工大学,"2021,2022,2024,2026",4
3602,赣东学院,"2021,2022,2024,2026",4
3603,赣南师范大学,"2021,2022,2024,2026",4
3604,赣南医学院,"2021,2022",2
3604,赣南医科大学,"2024,2026",2
3605,华东交通大学,"2021,2022,2024,2026",4
3606,南昌交通学院(民办),"2021,2022",2
3606,南昌交通学院,"2024,2026",2
3607,江西财经大学,"2021,2022,2024,2026",4
3608,江西财经大学现代经济管理学院(独立学院),"2021,2022",2
3608,江西财经大学现代经济管理学院,"2024,2026",2
3609,江西财经职业学院,"2024,2026",2
3610,江西应用科技学院(民办),"2021,2022",2
3610,江西应用科技学院,"2024,2026",2
3611,南昌职业大学(民办),2021,1
3611,南昌职业大学,"2024,2026",2
3612,江西电力职业技术学院,"2021,2022,2024,2026",4
3613,江西服装学院(民办),"2021,2022",2
3613,江西服装学院,"2024,2026",2
3614,南昌工学院(民办),"2021,2022",2
3614,南昌工学院,"2024,2026",2
3618,江西交通职业技术学院,"2024,2026",2
3619,江西科技师范大学,"2021,2022,2024,2026",4
3620,南昌应用技术师范学院(民办),"2021,2022",2
3620,南昌应用技术师范学院,"2024,2026",2
3621,江西科技学院(民办),"2021,2022",2
3621,江西科技学院,"2024,2026",2
3622,江西理工大学,"2021,2022,2024,2026",4
3623,赣南科技学院,"2021,2022,2024,2026",4
3625,江西农业大学,"2021,2022,2024,2026",4
3626,江西农业大学南昌商学院(独立学院),"2021,2022",2
3626,江西农业大学南昌商学院,"2024,2026",2
3627,江西师范大学,"2021,2022,2024,2026",4
3628,江西师范大学科学技术学院(独立学院),"2021,2022",2
3628,江西师范大学科学技术学院,"2024,2026",2
3629,江西司法警官职业学院,"2021,2022,2024,2026",4
3630,江西外语外贸职业大学,2026,1
3632,江西现代职业技术学院,2026,1
3633,江西信息应用职业技术学院,"2021,2022",2
3637,江西中医药大学,"2021,2022,2024,2026",4
3638,南昌医学院,"2021,2022,2024,2026",4
3639,江西中医药高等专科学校,"2021,2022,2024",3
3639,抚州医药学院,2026,1
3640,井冈山大学,"2021,2022,2024,2026",4
3641,景德镇学院,"2021,2022,2024,2026",4
3642,景德镇陶瓷大学,"2021,2022,2024,2026",4
3643,景德镇艺术职业大学(民办),"2021,2022",2
3643,景德镇艺术职业大学,"2024,2026",2
3644,九江学院,"2021,2022,2024,2026",4
3645,九江职业技术学院,2022,1
3645,江西职业技术大学,"2024,2026",2
3646,南昌大学(一流学科建设高校),2021,1
3646,南昌大学（一流学科建设高校）,2022,1
3646,南昌大学,"2024,2026",2
